relativePath,tenderId,tenderTitle,item
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,General Technical Evaluation Allowed: No
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,ItemWise Technical Evaluation: No
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Cover Details: Fee/PreQual/Technical/Finance (single cover)
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Work Description: Supply Of 11KV HT BUSBAR Sleeve
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Item Description: 11KV HT BUSBAR SLEEVE 200X10mm and 70X10mm
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Period Of Work (Days): 42
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Show Technical bid status: Yes
