relativePath,tenderId,tenderTitle,item
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Bid Validity: 75 days
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,EMD Amount in ₹: 0.00
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,EMD Fee Type: fixed
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Tender Fee in ₹: 0.00
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Form of contract: Buy
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Contract Type: Tender
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Payment Mode: Not Applicable
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Is Multi Currency Allowed For BOQ: No
0001-GePNIC-2026-08-05-02_07_28.pdf,2026_BHEL_63688_1,11KV HT BUSBAR Sleeve and Panel Service,Is Multi Currency Allowed For Fee: No
